商品原始链接,商品最终链接,商品标题,店铺名称,店铺链接,平台,是否下架,划线价,活动价,促销价,活动信息,详细活动信息,优惠券信息,月销量,累计评论,日期
https://detail.tmall.com/item.htm?id=559309504858&ns=1&abbucket=1,https://detail.tmall.com/item.htm?id=559309504858&ns=1&abbucket=1,WHISKY L Ardbeg阿贝雅柏雅伯乌干达乌加达尔单一麦芽威士忌洋酒,WHISKY L！旗舰店,https://taishengyuanjl.tmall.com/,tm,0,680.00,,595.00,,,送天猫积分297,26,112,2020-10-30
https://detail.tmall.com/item.htm?id=560625678897&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=1,https://detail.tmall.com/item.htm?id=560625678897&cm_id=140105335569ed55e27b&abbucket=1,Ardbeg阿贝雅柏雅伯阿德贝哥漩涡单一麦芽威士忌苏格兰进口洋酒,WHISKY L！旗舰店,https://taishengyuanjl.tmall.com/,tm,0,750.00,,675.00,,,送天猫积分337,38,141,2020-10-30
https://item.taobao.com/item.htm?id=595611512109&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=595611512109&ns=1&abbucket=1#detail,阿贝深痕Ardbeg雅柏阿德贝哥单一麦芽苏格兰威士忌,佩琪和乔治进口酒馆,https://shop36600340.taobao.com/,tb,0,1690.00,,,,,,1,4,2020-10-30
https://item.taobao.com/item.htm?id=625145688807&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=625145688807&ns=1&abbucket=1#detail,阿贝雅柏拉弗格酒垫杯垫酒具套装ardbeg blaaack黑羊威士忌周边,WHISKY LOCK 精品周边,https://shop62388685.taobao.com/,tb,0,78.00-140.00,,,,,淘金币最高可抵商品价 2%,3,4,2020-10-30
https://item.taobao.com/item.htm?id=625147712096&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=625147712096&ns=1&abbucket=1#detail,拉弗格阿贝雅柏威士忌ardbeg blaaack黑羊咩咩羊餐垫苏格兰威士忌,WHISKY LOCK 精品周边,https://shop62388685.taobao.com/,tb,0,78.00-158.00,,,,,淘金币最高可抵商品价 2%,8,7,2020-10-30
https://item.taobao.com/item.htm?id=607415576623&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=607415576623&ns=1&abbucket=1#detail,雅柏阿贝阿德贝哥漩涡Ardbeg Corryvreckan单一麦芽威士忌洋酒,启源酒类直销店,https://shop318400414.taobao.com/,tb,0,585.00,,,,,,0,0,2020-10-30
https://item.taobao.com/item.htm?id=572343011353&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=572343011353&ns=1&abbucket=1#detail,Ardbeg苏格兰进口阿贝雅柏阿德贝哥10年单一麦芽威士忌 包邮现货,以马内利酒业,https://shop108156093.taobao.com/,tb,0,286.50,,273.00,,,,184,1070,2020-10-30
https://item.taobao.com/item.htm?id=600550806550&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=600550806550&ns=1&abbucket=1#detail,阿德贝哥奥之岬 阿贝 雅柏 ARDBEG 单一麦芽威士忌原瓶进口洋酒,迦南酒类销售店,https://shop69079758.taobao.com/,tb,0,365.00,,,,,"淘金币可抵7.30元
20元店铺优惠券，满998元可用 领取
15元店铺优惠券，满499元可用 领取",0,2,2020-10-30
https://item.taobao.com/item.htm?id=601534436536&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=601534436536&ns=1&abbucket=1#detail,行货洋酒 阿贝 乌干达Ardbeg雅柏阿德贝哥单一麦芽威士忌 700ml,Ywhiskys,https://shop350584675.taobao.com/,tb,0,545.00,,,,,"11/1-11/3每满200减25,上不封顶",59,177,2020-10-30
https://item.taobao.com/item.htm?id=37358453689&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=37358453689&ns=1&abbucket=1#detail,正品行货洋酒 ARDBEG 雅柏艾雷 阿德贝哥/阿贝10年单一麦芽威士忌,广东龙粤酒行,https://longyjh.taobao.com/,tb,0,427.20,,340.00,,,"11/1-11/3每满200减25,上不封顶",2,53,2020-10-30
https://item.taobao.com/item.htm?id=599560310132&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=599560310132&ns=1&abbucket=1#detail,阿德贝哥奥之岬 阿贝 雅柏 ARDBEG 单一麦芽威士忌原瓶进口洋酒,盛峰酒类洋酒专丶卖,https://yikang918.taobao.com/,tb,0,360.00,,,,,"11/1-11/3每满200减25,上不封顶",5,31,2020-10-30
https://item.taobao.com/item.htm?id=601979018183&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=601979018183&ns=1&abbucket=1#detail,行货洋酒 阿贝奥之岬ANOA雅柏阿德贝哥Ardbeg单一麦芽威士忌,Ywhiskys,https://shop350584675.taobao.com/,tb,0,465.00,,,,,"11/1-11/3每满200减25,上不封顶",8,41,2020-10-30
https://item.taobao.com/item.htm?id=596459739032&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=596459739032&ns=1&abbucket=1#detail,Ardbeg An Oa阿德贝哥雅柏阿贝奥之岬单一麦芽苏格兰威士忌46.6%,以马内利酒业,https://shop108156093.taobao.com/,tb,0,388.00,,,,,,5,65,2020-10-30
https://item.taobao.com/item.htm?id=588255042780&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=588255042780&ns=1&abbucket=1#detail,Ardbeg苏格兰进口阿贝雅柏阿德贝哥10年单一麦芽威士忌 正品包邮,长兴酒馆,https://cxjg.taobao.com/,tb,0,359.00,,335.00,,,"11/1-11/3每满200减25,上不封顶",0,0,2020-10-30
https://item.taobao.com/item.htm?id=611060843857&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=611060843857&ns=1&abbucket=1#detail,Ardbeg雅柏阿贝阿德贝哥漩涡单一麦芽威士忌苏格兰进口洋酒,长兴酒馆,https://cxjg.taobao.com/,tb,0,650.00,,598.00,,,"11/1-11/3每满200减25,上不封顶",0,1,2020-10-30
https://item.taobao.com/item.htm?id=602771207966&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=602771207966&ns=1&abbucket=1#detail,Ardbeg阿贝雅柏超新星2019会员版单一麦芽苏格兰威士忌Supernona,佩琪和乔治进口酒馆,https://shop36600340.taobao.com/,tb,0,3100.00,,,,,,1,2,2020-10-30
https://item.taobao.com/item.htm?id=21511483841&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=21511483841&ns=1&abbucket=1#detail,启德洋酒Ardbeg阿贝雅柏阿德贝哥10年单一麦芽威士忌苏格兰进口,上海启德酒水直供店,https://shqidemaoyi.taobao.com/,tb,0,345.00,,344.00,,,"淘金币可抵10.32元
30元店铺优惠券，满700元可用 领取
20元店铺优惠券，满500元可用 领取
11/1-11/3每满200减25,上不封顶",16,143,2020-10-30
https://item.taobao.com/item.htm?id=622302219787&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=622302219787&ns=1&abbucket=1#detail,阿贝雅柏雅伯10年骨头造型Ardbeg苏格兰单一麦芽700ml占米威士忌,占米威士忌体验店,https://shop334725422.taobao.com/,tb,0,685.00,,,,,"11/1-11/3每满200减25,上不封顶",3,6,2020-10-30
https://item.taobao.com/item.htm?id=613504969514&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=613504969514&ns=1&abbucket=1#detail,Ardbeg10年ten阿贝雅柏阿德贝哥厂家铁盒造型,海湧 單一純麥,https://shop141155537.taobao.com/,tb,0,480.00,,,,,,2,12,2020-10-30
https://item.taobao.com/item.htm?id=37923788511&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=37923788511&ns=1&abbucket=1#detail,进口洋酒Ardbeg阿贝乌干达雅柏乌加达尔艾雷岛单一麦芽威士忌正品,Ai whisky shop,https://aiwhisky.taobao.com/,tb,0,635.00,"抢先价
¥635.00",,,,"11/1-11/3每满200减25,上不封顶
每满200减20",1,7,2020-10-30
https://item.taobao.com/item.htm?id=628951697469&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=628951697469&ns=1&abbucket=1#detail,Ardbeg阿贝雅柏水鬼day苏格兰艾雷岛单一麦芽威士忌,乔巴酒馆,https://shop238223983.taobao.com/,tb,0,6800.00,,,,,,0,0,2020-10-30
https://item.taobao.com/item.htm?id=623033609313&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=623033609313&ns=1&abbucket=1#detail,阿贝 Ardbeg 阿德贝哥10年 雅柏十年单一麦芽苏格兰威士忌洋酒,醇朗酒行,https://shop455145036.taobao.com/,tb,0,360.00,,,,,"11/1-11/3每满200减25,上不封顶",10,6,2020-10-30
https://detail.tmall.com/item.htm?id=560560153011&ns=1&abbucket=1,https://detail.tmall.com/item.htm?id=560560153011&ns=1&abbucket=1,WHISKY L Ardbeg阿贝雅柏雅伯10年单一麦芽威士忌苏格兰进口洋酒,WHISKY L！旗舰店,https://taishengyuanjl.tmall.com/,tm,0,472.00,,405.00,,,送天猫积分202,46,144,2020-10-30
https://item.taobao.com/item.htm?id=597885936127&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=597885936127&ns=1&abbucket=1#detail,洋酒 Ardbeg苏格兰进口阿贝雅柏阿德贝哥10年单一麦芽威士忌700ml,尊酒行,https://shop246764384.taobao.com/,tb,0,271.00,,,,,,28,51,2020-10-30
https://item.taobao.com/item.htm?id=619783420845&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=619783420845&ns=1&abbucket=1#detail,【分享瓶】阿贝Ardbeg雅柏乌干达单一麦芽威士忌泥煤小酒版30ML,微试记士多,https://shop447720972.taobao.com/,tb,0,35.00,,,,,,24,146,2020-10-30
https://item.taobao.com/item.htm?id=624632148954&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=624632148954&ns=1&abbucket=1#detail,Ardbeg雅柏阿贝阿德贝哥漩涡单一麦芽威士忌苏格兰进口洋酒,上海品酒轩酒类直供店,https://shop116933021.taobao.com/,tb,0,595.00,,,,,"10元店铺优惠券，满1000元可用 领取
5元店铺优惠券，满599元可用 领取",5,1,2020-10-30
https://item.taobao.com/item.htm?id=626365697615&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=626365697615&ns=1&abbucket=1#detail,阿贝雅伯5年小怪兽艾雷岛单一麦芽威士忌雅柏 Ardbeg Wee Beastie,WHISKY AND MORE,https://shop531348197.taobao.com/,tb,0,860.00,,,,,"11/1-11/3每满200减25,上不封顶",10,10,2020-10-30
https://item.taobao.com/item.htm?id=608855188149&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=608855188149&ns=1&abbucket=1#detail,阿德贝哥漩涡 阿贝 ARDBEG/雅柏单一麦芽威士忌原瓶进口洋酒700ml,上海盛卫洋酒行,https://shop288053751.taobao.com/,tb,0,588.00,,,,,"11/1-11/3每满200减25,上不封顶",7,6,2020-10-30
https://item.taobao.com/item.htm?id=575644784711&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=575644784711&ns=1&abbucket=1#detail,Ardbeg苏格兰原装进口阿贝雅柏阿德贝哥10年单一麦芽威士忌 包邮,快活林俱乐部,https://2018cigars-whiskey.taobao.com/,tb,0,688.00,"抢先价
¥358.00",358.00,,,"50元店铺优惠券，满4999元可用 领取
25元店铺优惠券，满2999元可用 领取
11/1-11/3每满200减25,上不封顶",10,75,2020-10-30
https://item.taobao.com/item.htm?id=620109961023&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=620109961023&ns=1&abbucket=1#detail,ARDBEG 雅柏艾雷 阿德贝哥5年小怪兽 单一麦芽威士忌英国原装进口,轶泉酒业,https://shop238466893.taobao.com/,tb,0,998.00,,850.00,,,,5,0,2020-10-30
https://item.taobao.com/item.htm?id=614538223550&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=614538223550&ns=1&abbucket=1#detail,【指南针】Ardbeg阿德贝哥阿贝雅柏10年单一麦芽苏格兰威士忌洋酒,威士忌指南针,https://whiskyco.taobao.com/,tb,0,409.00,,380.00,,,"11/1-11/3每满200减25,上不封顶
满100减20",9,39,2020-10-30
https://item.taobao.com/item.htm?id=538627937541&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=538627937541&ns=1&abbucket=1#detail,进口洋酒 ARDBEG阿德贝哥阿贝10年 雅柏十年单一麦芽苏格兰威士忌,龙粤威士忌精品店,https://shop101319062.taobao.com/,tb,0,412.00,,335.00,,,,22,176,2020-10-30
https://item.taobao.com/item.htm?id=620732686268&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=620732686268&ns=1&abbucket=1#detail,代购 Ardbeg苏格兰进口阿贝雅柏阿德贝哥10年单一麦芽威士忌 包邮,志益酒业,https://shop169833970.taobao.com/,tb,0,295.00-660.00,,,,,5元店铺优惠券，满299元可用 领取,3,23,2020-10-30
https://item.taobao.com/item.htm?id=37911773711&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=37911773711&ns=1&abbucket=1#detail,Ardbeg Corryvreckan 阿贝漩涡 雅柏漩涡单一麦芽苏格兰威士忌,Ai whisky shop,https://aiwhisky.taobao.com/,tb,0,740.00,"抢先价
¥740.00",,,,"11/1-11/3每满200减25,上不封顶
每满200减20",4,9,2020-10-30
https://item.taobao.com/item.htm?id=612459683582&ns=1&abbucket=1#detail,https://item.taobao.com/item.htm?id=612459683582&ns=1&abbucket=1#detail,Ardbeg 阿贝雅柏阿德贝哥10年铁盒酒厂限量版单一麦芽威士忌,英格酒业,https://lnga.taobao.com/,tb,0,520.00,,480.00,,,,2,6,2020-10-30
