商品原始链接,商品最终链接,商品标题,店铺名称,店铺链接,平台,是否下架,划线价,活动价,促销价,活动信息,详细活动信息,优惠券信息,月销量,累计评论,日期
https://item.taobao.com/item.htm?id=20565599246,https://item.taobao.com/item.htm?id=20565599246,野格力娇酒 野格圣鹿利口酒 JAGERMEIFTER德国原装进口 正品洋酒,179俱乐部,https://179club.taobao.com/,tb,0,138.00,,,,,,521,1195,2020-10-20
https://item.taobao.com/item.htm?id=586375262300,https://detail.tmall.com/item.htm?id=586375262300&skuId=4342258993109,醉鹅娘 德国进口洋酒野格圣鹿酒利口酒力娇酒正品行货700ml,醉鹅娘酒类旗舰店,https://zuieniang.tmall.com/,tm,0,198.00,,138.00,"满1件,送任意1件赠品（赠完即止）；满2件,送任意2件赠品（…","满1件,送任意1件赠品（赠完即止）鹿头子弹杯小酒壶*1红牛*2烟灰缸*1满2件,送任意2件赠品（赠完即止）鹿头子弹杯小酒壶*1红牛*2烟灰缸*1满3件,送任意3件赠品（赠完即止）鹿头子弹杯小酒壶*1红牛*2烟灰缸*1满4件,送任意4件赠品（赠完即止）鹿头子弹杯小酒壶*1红牛*2烟灰缸*1",送天猫积分69,6500+,50325,2020-10-20
https://item.taobao.com/item.htm?id=611391648091,https://chaoshi.detail.tmall.com/item.htm?id=611391648091,【进口】双11爆款网红野格行货700ml+RIO锐澳微醺白桃味330ml*2瓶,天猫超市,https://chaoshi.tmall.com/,tm,0,,,138.00,,,送天猫积分13,120,3089,2020-10-20
https://item.taobao.com/item.htm?id=560263330969,https://detail.tmall.com/item.htm?id=560263330969&skuId=4506575846116,【选赠品】德国进口洋酒野格圣鹿利口酒700ml力娇酒 鹿头酒正品,WHISKY L！旗舰店,https://taishengyuanjl.tmall.com/,tm,0,198.00,,138.00,"满1件,送任意1件赠品（赠完即止）；满2件,送任意2件赠品（…","满1件,送任意1件赠品（赠完即止）红牛2罐A百威1罐鹿头1个啤酒1罐满2件,送任意2件赠品（赠完即止）A1白啤1鹿头1个D红牛2罐白啤1支满3件,送任意3件赠品（赠完即止）A1百威1鹿头1个D红牛2罐白啤1支满4件,送任意4件赠品（赠完即止）B红牛2罐A鹿头1个C百威1瓶D啤酒1支满5件,送任意4件赠品（赠完即止）红牛2罐A鹿头1个百威1支啤酒1支",送天猫积分69,1753,23897,2020-10-20
https://item.taobao.com/item.htm?id=595492174761,https://item.taobao.com/item.htm?id=595492174761,老宋的微醺23点 德国野格圣鹿利口酒700ml蓝鲸莫斯卡托香槟起泡酒,老宋的微醺23点,https://shop251938368.taobao.com/,tb,0,258.00,,168.00,,,淘金币可抵5.04元,311,3547,2020-10-20
https://item.taobao.com/item.htm?id=607181340870,https://item.taobao.com/item.htm?id=607181340870,现货野格利口酒圣鹿力娇酒鹿头德国进口洋酒正品行货700ml,昭昌明酒业,https://shop354958810.taobao.com/,tb,0,399.00,,138.00,,,"淘金币可抵4.14元
200元店铺优惠券，满2000元可用 领取
120元店铺优惠券，满1200元可用 领取
满1件,送赠品,满2件,送赠品,满3件,送赠品,满4件,送赠品",118,2530,2020-10-20
https://item.taobao.com/item.htm?id=589938213113,https://item.taobao.com/item.htm?id=589938213113,猿小姐 德国进口网红洋酒野格圣鹿酒利口酒力娇酒正品行货700ml,猿小姐的甜酒铺,https://tianjiupu.taobao.com/,tb,0,168.00,,138.00,,,"80元店铺优惠券，满1099元可用 领取
40元店铺优惠券，满599元可用 领取
满1件,送赠品,满2件,送赠品,满3件,送赠品,满4件,送赠品",604,3383,2020-10-20
https://item.taobao.com/item.htm?id=601388472684,https://item.taobao.com/item.htm?id=601388472684,正品行货 德国进口野格鹿头酒圣鹿利口酒力娇700ml耶格网红款洋酒,叁联胜酒行,https://shop506177743.taobao.com/,tb,0,168.00,,138.00,,,"淘金币可抵4.14元
50元店铺优惠券，满1088元可用 领取
20元店铺优惠券，满450元可用 领取
满1件,送赠品,满2件,送赠品,满3件,送赠品,满4件,送赠品,满5件,送赠品",302,2575,2020-10-20
https://item.taobao.com/item.htm?id=591188784453,https://detail.tmall.com/item.htm?id=591188784453&skuId=4588702411849,【定时送】正品野格利口酒700ml 德国野格圣鹿力娇酒进口洋酒鹿头,壹玖壹玖官方旗舰店,https://yjyjjl.tmall.com/,tm,0,189.00,,154.00,"满154元减16元,送任意2件赠品（赠完即止）","满154元减16元,送任意2件赠品（赠完即止）乌苏啤酒福佳玫瑰红1664桃福佳白啤",送天猫积分77,245,3763,2020-10-20
https://item.taobao.com/item.htm?id=20310841413,https://detail.tmall.com/item.htm?id=20310841413,御玖轩 野格圣鹿利口酒力娇酒700ml进口鹿头洋酒百利甜酒百龄坛,御玖轩酒类专营店,https://yjxjl.tmall.com/,tm,0,168.00-228.00,,167.90-208.00,,,送天猫积分83起,86,6636,2020-10-20
https://item.taobao.com/item.htm?id=601701681925,https://item.taobao.com/item.htm?id=601701681925,德国野格恶魔鹿头酒利口酒力娇酒圣鹿野葛酒耶格酒700ml,话事酒馆,https://shop307909480.taobao.com/,tb,0,228.00-298.00,,138.00-228.00,,,,25,2315,2020-10-20
https://item.taobao.com/item.htm?id=598184656737,https://item.taobao.com/item.htm?id=598184656737,【买1赠5】德国进口弐洋酒 野格圣鹿利口酒力娇酒正品行货700ml,高岛小酒屋,https://shop275281988.taobao.com/,tb,0,198.00-278.00,,138.00-218.00,,,"淘金币可抵4.14元
25元店铺优惠券，满400元可用 领取
10元店铺优惠券，满200元可用 领取",222,1480,2020-10-20
https://item.taobao.com/item.htm?id=574270833139,https://detail.tmall.com/item.htm?id=574270833139&skuId=4337805081837,顺丰发货 德国洋酒 Jagermeister野格圣鹿利口酒野格力娇酒700ml,威赛帝斯酒类专营,https://wsdsjl.tmall.com/,tm,0,299.00,,138.00,"满1件,送任意1件赠品（赠完即止）；满2件,送任意2件赠品（…","满1件,送任意1件赠品（赠完即止）红茶青熟黑糖芽茶满2件,送任意2件赠品（赠完即止）红茶梅酒黑糖芽茶满3件,送任意3件赠品（赠完即止）红茶青熟黑糖芽茶",送天猫积分69,29,281,2020-10-20
https://item.taobao.com/item.htm?id=611003725419,https://item.taobao.com/item.htm?id=611003725419,现货正品行货 德国进口洋酒野格圣鹿小瓶酒利口酒力娇酒700+200ml,迷蒙小酒,https://shop342660495.taobao.com/,tb,0,79.00-198.00,,49.00-168.00,,,"淘金币可抵1.47元
30元店铺优惠券，满400元可用 领取
15元店铺优惠券，满200元可用 领取",58,811,2020-10-20
https://item.taobao.com/item.htm?id=578479870524,https://detail.tmall.com/item.htm?id=578479870524&skuId=4420308173641,【好礼4选1】网红德国进口洋酒野格圣鹿利口酒力娇酒700ml行货,晟阳酒类专营店,https://shengyangjiulei.tmall.com/,tm,0,198.00,,138.00,"满1件,送任意1件赠品（赠完即止）；满2件,送任意2件赠品（…","满1件,送任意1件赠品（赠完即止）调酒可乐巧克力红酒红牛*2鹿头+酒杯满2件,送任意2件赠品（赠完即止）调酒可乐巧克力红酒红牛*2鹿头+酒杯满3件,送任意3件赠品（赠完即止）调酒可乐巧克力红酒红牛*2鹿头+酒杯满4件,送任意4件赠品（赠完即止）调酒可乐红牛*2巧克力红酒鹿头+酒杯",送天猫积分69,59,1545,2020-10-20
