商品原始链接,商品最终链接,商品标题,店铺名称,店铺链接,平台,是否下架,划线价,活动价,促销价,活动信息,详细活动信息,优惠券信息,月销量,累计评论,日期
https://item.taobao.com/item.htm?id=20565599246,https://item.taobao.com/item.htm?id=20565599246,野格力娇酒 野格圣鹿利口酒 JAGERMEIFTER德国原装进口 正品洋酒,179俱乐部,https://179club.taobao.com/,tb,0,138.00,,,,,,556,1133,2020-10-12
https://item.taobao.com/item.htm?id=586375262300,https://detail.tmall.com/item.htm?id=586375262300&skuId=4342258993109,醉鹅娘 德国进口洋酒野格圣鹿酒利口酒力娇酒正品行货700ml,醉鹅娘酒类旗舰店,https:https://zuieniang.tmall.com/,tm,0,198.00,,138.00,"满1件,送任意1件赠品（赠完即止）；满2件,送任意2件赠品（…","满1件,送任意1件赠品（赠完即止）鹿头子弹杯小酒壶*1红牛*2烟灰缸*1满2件,送任意2件赠品（赠完即止）鹿头子弹杯小酒壶*1红牛*2烟灰缸*1满3件,送任意3件赠品（赠完即止）鹿头子弹杯小酒壶*1红牛*2烟灰缸*1满4件,送任意4件赠品（赠完即止）鹿头子弹杯小酒壶*1红牛*2烟灰缸*1",送天猫积分69,7000+,50065,2020-10-12
https://item.taobao.com/item.htm?id=611391648091,https://chaoshi.detail.tmall.com/item.htm?id=611391648091,【进口】网红野格圣鹿正品行货700ml+RIO锐澳微醺白桃味330ml*2瓶,天猫超市,https://chaoshi.tmall.com/,tm,0,,,138.00,,,送天猫积分13,168,3086,2020-10-12
https://item.taobao.com/item.htm?id=560263330969,https://detail.tmall.com/item.htm?id=560263330969&skuId=4506575846116,【选赠品】德国进口洋酒野格圣鹿利口酒700ml力娇酒 鹿头酒正品,WHISKY L！旗舰店,https:https://taishengyuanjl.tmall.com/,tm,0,198.00,,138.00,"满1件,送任意1件赠品（赠完即止）；满2件,送任意2件赠品（…","满1件,送任意1件赠品（赠完即止）红牛2罐A百威1罐鹿头1个啤酒1罐满2件,送任意2件赠品（赠完即止）A1白啤1鹿头1个D红牛2罐白啤1支满3件,送任意3件赠品（赠完即止）A1百威1鹿头1个D红牛2罐白啤1支满4件,送任意4件赠品（赠完即止）B红牛2罐A鹿头1个C百威1瓶D啤酒1支满5件,送任意4件赠品（赠完即止）红牛2罐A鹿头1个百威1支啤酒1支",送天猫积分69,1713,23858,2020-10-12
https://item.taobao.com/item.htm?id=595492174761,https://item.taobao.com/item.htm?id=595492174761,老宋的微醺23点 德国野格圣鹿利口酒700ml蓝鲸莫斯卡托香槟起泡酒,老宋的微醺23点,https://shop251938368.taobao.com/,tb,0,258.00,,168.00,超值优惠,,淘金币可抵5.04元,338,4112,2020-10-12
https://item.taobao.com/item.htm?id=607181340870,https://item.taobao.com/item.htm?id=607181340870,现货野格利口酒圣鹿力娇酒鹿头德国进口洋酒正品行货700ml,昭昌明酒业,https://shop354958810.taobao.com/,tb,0,399.00,,138.00,优惠价,,"淘金币可抵4.14元
200元店铺优惠券，满2000元可用 领取
120元店铺优惠券，满1200元可用 领取
满1件,送赠品,满2件,送赠品,满3件,送赠品,满4件,送赠品",115,2735,2020-10-12
https://item.taobao.com/item.htm?id=589938213113,https://item.taobao.com/item.htm?id=589938213113,猿小姐 德国进口网红洋酒野格圣鹿酒利口酒力娇酒正品行货700ml,猿小姐的甜酒铺,https://tianjiupu.taobao.com/,tb,0,168.00,,138.00,店铺促销,,"淘金币可抵4.14元
80元店铺优惠券，满1099元可用 领取
40元店铺优惠券，满599元可用 领取
满1件,送赠品,满2件,送赠品,满3件,送赠品,满4件,送赠品",598,3318,2020-10-12
https://item.taobao.com/item.htm?id=601388472684,https://item.taobao.com/item.htm?id=601388472684,正品行货 德国进口野格鹿头酒圣鹿利口酒力娇700ml耶格网红款洋酒,叁联胜酒行,https://shop506177743.taobao.com/,tb,0,168.00,,138.00,活动中,,"淘金币可抵4.14元
50元店铺优惠券，满1088元可用 领取
20元店铺优惠券，满450元可用 领取
满1件,送赠品,满2件,送赠品,满3件,送赠品,满4件,送赠品,满5件,送赠品",266,2554,2020-10-12
https://item.taobao.com/item.htm?id=591188784453,https://detail.tmall.com/item.htm?id=591188784453&skuId=4588702411849,【定时送】正品野格利口酒700ml 德国野格圣鹿力娇酒进口洋酒鹿头,壹玖壹玖官方旗舰店,https:https://yjyjjl.tmall.com/,tm,0,189.00,,154.00,"满154元减16元,送任意2件赠品（赠完即止）","满154元减16元,送任意2件赠品（赠完即止）福佳玫瑰红福佳白啤",送天猫积分77,291,3756,2020-10-12
https://item.taobao.com/item.htm?id=20310841413,https://detail.tmall.com/item.htm?id=20310841413,御玖轩 野格圣鹿利口酒力娇酒700ml德国进口鹿头洋酒,御玖轩酒类专营店,https:https://yjxjl.tmall.com/,tm,0,168.00-228.00,,167.90-208.00,,,送天猫积分83起,118,6727,2020-10-12
