,rivalAvg,rivalGood,value,date_wise,index_code,date
0,244241.2,1486966.0,114279.79999999999,day,payAmt,2020-09-20
1,308824.4,1244988.1,189265.01000000004,day,payAmt,2020-09-21
2,651944.6,1569186.9,393244.54000000004,day,payAmt,2020-09-22
3,422681.8,891219.0,187928.93000000002,day,payAmt,2020-09-23
4,416736.4,898984.2,166189.6,day,payAmt,2020-09-24
5,276209.2,729089.2,214859.39999999997,day,payAmt,2020-09-25
6,301868.0,692898.4,154185.4,day,payAmt,2020-09-26
7,260548.6,634958.8,173220.09999999998,day,payAmt,2020-09-27
8,243410.6,716581.5,218203.72999999998,day,payAmt,2020-09-28
9,204900.6,563074.2,136519.59999999998,day,payAmt,2020-09-29
10,172786.2,360269.4,78191.99999999999,day,payAmt,2020-09-30
11,176095.4,410022.9,142517.66999999998,day,payAmt,2020-10-01
12,150887.2,395062.6,96440.83999999997,day,payAmt,2020-10-02
13,150888.2,285338.6,86433.95,day,payAmt,2020-10-03
14,136387.0,291563.6,106674.68000000001,day,payAmt,2020-10-04
15,112596.4,256449.0,95494.58999999997,day,payAmt,2020-10-05
16,121481.6,260742.6,91574.41999999997,day,payAmt,2020-10-06
17,130372.8,311929.0,131692.89,day,payAmt,2020-10-07
18,126207.4,235479.6,140915.26,day,payAmt,2020-10-08
19,124963.8,349810.4,82780.51999999999,day,payAmt,2020-10-09
20,149544.4,333804.2,136037.59999999998,day,payAmt,2020-10-10
21,118974.0,282717.5,96480.04999999997,day,payAmt,2020-10-11
22,106218.6,250561.6,107309.93999999996,day,payAmt,2020-10-12
23,100166.4,273089.4,101351.99999999997,day,payAmt,2020-10-13
24,118459.6,221687.8,177837.90000000002,day,payAmt,2020-10-14
25,140788.8,401153.8,114957.06,day,payAmt,2020-10-15
26,115454.8,305738.2,119982.79999999997,day,payAmt,2020-10-16
27,112661.0,339747.0,75044.79999999999,day,payAmt,2020-10-17
28,105466.0,225689.3,64634.63,day,payAmt,2020-10-18
29,136728.4,695837.9,93395.45999999998,day,payAmt,2020-10-19
0,59075.0,160051.0,15763.0,day,uv,2020-09-20
1,40053.0,91317.0,16467.0,day,uv,2020-09-21
2,47695.0,92749.0,17150.0,day,uv,2020-09-22
3,45234.0,87670.0,18449.0,day,uv,2020-09-23
4,43166.0,85334.0,19222.0,day,uv,2020-09-24
5,34238.0,63338.0,21252.0,day,uv,2020-09-25
6,42889.0,62224.0,18316.0,day,uv,2020-09-26
7,36338.0,69877.0,20164.0,day,uv,2020-09-27
8,32067.0,69257.0,18954.0,day,uv,2020-09-28
9,34080.0,66008.0,20294.0,day,uv,2020-09-29
10,30888.0,52152.0,13312.0,day,uv,2020-09-30
11,23972.0,89705.0,13703.0,day,uv,2020-10-01
