,rivalAvg,rivalGood,value,date_wise,index_code,date
0,4331210.8,7787930.9,3687564.4099999988,month,payAmt,2019-10-31
1,23061221.0,50737007.8,8589950.879999997,month,payAmt,2019-11-30
2,15829443.2,40383699.0,4056709.6999999997,month,payAmt,2019-12-31
3,19700985.6,92338777.4,5487020.01,month,payAmt,2020-01-31
4,4563932.4,7368711.1,2736489.6199999996,month,payAmt,2020-02-29
5,5919792.2,12957018.9,4284360.399999999,month,payAmt,2020-03-31
6,6217631.8,9949246.2,3216189.1399999997,month,payAmt,2020-04-30
7,7035330.2,14316834.9,3502975.8699999996,month,payAmt,2020-05-31
8,19232495.6,33241041.4,6552614.959999999,month,payAmt,2020-06-30
9,4560872.0,10271910.0,3575592.2,month,payAmt,2020-07-31
10,8005861.0,15635700.6,5961238.619999999,month,payAmt,2020-08-31
11,12636486.0,31011358.0,7308830.39,month,payAmt,2020-09-30
0,820221.0,3368749.0,612091.0,month,uv,2019-10-31
1,1332374.0,2874788.0,878968.0,month,uv,2019-11-30
2,1284208.0,1932733.0,694758.0,month,uv,2019-12-31
3,1970320.0,7285972.0,650408.0,month,uv,2020-01-31
4,524142.0,1000077.0,528865.0,month,uv,2020-02-29
5,722722.0,1554107.0,452697.0,month,uv,2020-03-31
6,612787.0,1416926.0,391613.0,month,uv,2020-04-30
7,773837.0,2778761.0,389043.0,month,uv,2020-05-31
8,1645536.0,10061513.0,539287.0,month,uv,2020-06-30
9,565917.0,1438180.0,463103.0,month,uv,2020-07-31
10,996056.0,2869412.0,492761.0,month,uv,2020-08-31
11,986897.0,2195171.0,455255.0,month,uv,2020-09-30
0,0.0255,0.0603,0.021509873531876795,month,payRate,2019-10-31
1,0.0327,0.0849,0.026446924120104486,month,payRate,2019-11-30
2,0.0353,0.1334,0.016610100207554285,month,payRate,2019-12-31
3,0.0375,0.0625,0.0236390081302813,month,payRate,2020-01-31
4,0.0459,0.0829,0.014523555160579732,month,payRate,2020-02-29
5,0.0328,0.0975,0.022653121182601165,month,payRate,2020-03-31
6,0.0353,0.1059,0.02226943436504917,month,payRate,2020-04-30
7,0.0323,0.0662,0.022311158406654277,month,payRate,2020-05-31
