,商品链接,商品标题,店铺名称,划线价,活动价,促销价,活动信息,详细活动信息,优惠券信息,月销量,累计评论
0,http://item.taobao.com/item.htm?id=524680536142,【进口】美国进口洋酒 JimBeam(占边/金宾) 波本威士忌 750mL,,,,88.00,满2件9折,满2件 9折,送天猫积分8,1283,7121
1,http://item.taobao.com/item.htm?id=528965445793,宅酒配Ardbeg苏格兰进口阿贝10年 阿德贝哥单一麦芽威士忌洋酒,宅酒配,392.86,,273.00,惊喜价,,,344,1946
2,http://item.taobao.com/item.htm?id=569641459830,日本威士忌 響 三得利威士忌响牌洋酒 响和风醇韵 HIBIKI正品洋酒,快活林俱乐部,1888.00,,1048.00-1078.00,火爆促销,,每满1048减130,,3099
3,http://item.taobao.com/item.htm?id=585508092509,三得利响和风醇韵调和威士忌 无年份 響 日本 Suntory,大正良久,940.00-2430.00,,,,,,130,703
4,http://item.taobao.com/item.htm?id=572343011353,Ardbeg苏格兰进口阿贝雅柏阿德贝哥10年单一麦芽威士忌 包邮现货,以马内利酒业,286.50,,273.00,爆款促销,,,230,1059
5,http://item.taobao.com/item.htm?id=592367593739,SUNTORY Hibiki宾三得利响和风醇韵 日本进口威士忌洋酒正品,WHISKY L！旗舰店,1269.00,,1100.00,,,送天猫积分550,387,396
6,http://item.taobao.com/item.htm?id=569469617787,Suntory Yamazaki日本原装进口三得利山崎1923单一麦芽威士忌包邮,快活林俱乐部,1180.00-1210.00,,890.00-920.00,火爆促销,,每满890减70,247,1696
7,http://item.taobao.com/item.htm?id=589589079866,suntory宾三得利梅酒梅子酒日本进口洋酒微醺青梅果酒低度酒720ml,WHISKY L！旗舰店,90.00,,,,,送天猫积分45,348,423
8,http://item.taobao.com/item.htm?id=530878739447,Suntory HIBIKI日本进口三得利响牌響和风醇韵有盒无盒威士忌洋酒,宅酒配,1185.71,,880.00-900.00,巨优惠,,,54,370
9,http://item.taobao.com/item.htm?id=594243211658,代购 日本山崎1923单一麦芽威士忌700ml原瓶进口洋酒威士忌YAMAZAKI,酒魁威士忌研究所,255.00-2510.00,,195.00-2450.00,店铺促销,,,102,396
