,商品链接,商品标题,划线价,活动价,促销价,活动信息,详细活动信息,优惠券信息,月销量,累计评论
0,http://item.taobao.com/item.htm?id=528965445793,宅酒配Ardbeg苏格兰进口阿贝10年 阿德贝哥单一麦芽威士忌洋酒,392.86,,273.00,惊喜价,,,364,1941
1,http://item.taobao.com/item.htm?id=569641459830,日本威士忌 響 三得利威士忌响牌洋酒 响和风醇韵 HIBIKI正品洋酒,1888.00,,1048.00-1078.00,火爆促销,,每满1048减130,371,3118
2,http://item.taobao.com/item.htm?id=585508092509,三得利响和风醇韵调和威士忌 无年份 響 日本 Suntory,940.00-2430.00,,,,,,133,703
3,http://item.taobao.com/item.htm?id=572343011353,Ardbeg苏格兰进口阿贝雅柏阿德贝哥10年单一麦芽威士忌 包邮现货,286.50,,273.00,爆款促销,,,231,1061
4,http://item.taobao.com/item.htm?id=569469617787,Suntory Yamazaki日本原装进口三得利山崎1923单一麦芽威士忌包邮,1180.00-1210.00,,890.00-920.00,火爆促销,,每满890减70,256,1710
5,http://item.taobao.com/item.htm?id=530878739447,Suntory HIBIKI日本进口三得利响牌響和风醇韵有盒无盒威士忌洋酒,1185.71,,880.00-900.00,巨优惠,,,54,370
6,http://item.taobao.com/item.htm?id=594243211658,代购 日本山崎1923单一麦芽威士忌700ml原瓶进口洋酒威士忌YAMAZAKI,255.00-2510.00,,195.00-2450.00,店铺促销,,,99,395
7,http://item.taobao.com/item.htm?id=569340396204,三得利 Yamazaki 12YO 山崎12年单一麦芽威士忌酒 日本进口洋酒,4888.00,,2000.00,热卖促销,,,124,500
8,http://item.taobao.com/item.htm?id=594243515985,代购 三得利响和风醇韵威士忌调和酒古典日本原装进口洋酒hibiki響乡音,970.00-2480.00,,940.00-2450.00,店铺促销,,,83,642
9,http://item.taobao.com/item.htm?id=591678815732,（有盒）山崎1923单一麦芽威士忌 日本威士忌 Yamazaki 700mL,790.00-810.00,,,,,,59,214
10,http://item.taobao.com/item.htm?id=536928719952,洋酒日本进口梅子酒 三得利梅酒SUNTORY 配制酒低度数女士酒720ml,92.00,,,,,,128,470
11,http://item.taobao.com/item.htm?id=569341852920,Suntory Hakushu日本三得利原装进口白州1973单一麦芽威士忌洋酒,1080.00-1180.00,,785.00-830.00,火爆促销,,每满785减65,162,1638
12,http://item.taobao.com/item.htm?id=42468981848,SHEEY CASK 格兰杰12年雪莉桶风味单一麦芽苏格兰高地威士忌 洋酒,272.00,,,,,,78,335
13,http://item.taobao.com/item.htm?id=591667907952,（有盒）日本洋酒 SUNTORY三得利响和风醇韵响牌威士忌700ml 正品,945.00,,,,,,44,264
14,http://item.taobao.com/item.htm?id=523225868956,波摩12年单一麦芽苏格兰威士忌 Bowmore ISLAY洋酒 烈酒 艾莱岛,320.00,,,,,,68,320
15,http://item.taobao.com/item.htm?id=597883092882,梅乃宿日本进口清酒三得利山崎女士甜果酒青梅子酒柚子酒720ml,356.00,,178.00,抢购价,,"100元店铺优惠券，满1000元可用 领取
50元店铺优惠券，满500元可用 领取",64,197
16,http://item.taobao.com/item.htm?id=581903534293,Yamazaki三得利山崎1923威士忌 单一麦芽日本原装进口洋酒正品,850.00-885.00,,,,,"30元店铺优惠券，满2000元可用 领取
10元店铺优惠券，满1000元可用 领取
满850减60",44,416
