商品原始链接,商品最终链接,商品标题,店铺名称,店铺链接,平台,是否下架,划线价,活动价,促销价,活动信息,详细活动信息,优惠券信息,月销量,累计评论,日期
https://detail.tmall.com/item.htm?id=559309504858&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=17,https://detail.tmall.com/item.htm?id=559309504858&cm_id=140105335569ed55e27b&abbucket=17,WHISKY L Ardbeg阿贝雅柏雅伯乌干达乌加达尔单一麦芽威士忌洋酒,WHISKY L！旗舰店,https://taishengyuanjl.tmall.com/,tm,0,680.00,,595.00,,,送天猫积分297,25,112,2020-10-28
https://detail.tmall.com/item.htm?id=560625678897&ns=1&abbucket=17,https://detail.tmall.com/item.htm?id=560625678897&ns=1&abbucket=17,Ardbeg阿贝雅柏雅伯阿德贝哥漩涡单一麦芽威士忌苏格兰进口洋酒,WHISKY L！旗舰店,https://taishengyuanjl.tmall.com/,tm,0,750.00,,675.00,,,送天猫积分337,40,141,2020-10-28
https://item.taobao.com/item.htm?id=595611512109&ns=1&abbucket=17#detail,https://item.taobao.com/item.htm?id=595611512109&ns=1&abbucket=17#detail,阿贝深痕Ardbeg雅柏阿德贝哥单一麦芽苏格兰威士忌,佩琪和乔治进口酒馆,https://shop36600340.taobao.com/,tb,0,1690.00,,,,,,1,4,2020-10-28
https://item.taobao.com/item.htm?id=624399437714&ns=1&abbucket=17#detail,https://item.taobao.com/item.htm?id=624399437714&ns=1&abbucket=17#detail,ardbeg阿贝10威士忌酒杯硬汉工业风阿贝雅柏情侣早餐马克杯ins风,WHISKY LOCK 精品周边,https://shop62388685.taobao.com/,tb,0,78.00-180.00,,,,,淘金币最高可抵商品价 2%,1,5,2020-10-28
https://item.taobao.com/item.htm?id=625873044281&ns=1&abbucket=17#detail,https://item.taobao.com/item.htm?id=625873044281&ns=1&abbucket=17#detail,Ardbeg阿德贝哥雅柏阿贝奥之岬苏格兰泥煤岛屿单一麦芽进口威士忌,英格酒业,https://lnga.taobao.com/,tb,0,480.00,,430.00,,,,2,0,2020-10-28
https://item.taobao.com/item.htm?id=538627937541&ns=1&abbucket=17#detail,https://item.taobao.com/item.htm?id=538627937541&ns=1&abbucket=17#detail,进口洋酒 ARDBEG阿德贝哥阿贝10年 雅柏十年单一麦芽苏格兰威士忌,龙粤威士忌精品店,https://shop101319062.taobao.com/,tb,0,412.00,,335.00,,,,24,170,2020-10-28
https://item.taobao.com/item.htm?id=612459683582&ns=1&abbucket=17#detail,https://item.taobao.com/item.htm?id=612459683582&ns=1&abbucket=17#detail,Ardbeg 阿贝雅柏阿德贝哥10年铁盒酒厂限量版单一麦芽威士忌,英格酒业,https://lnga.taobao.com/,tb,0,520.00,,480.00,,,,2,6,2020-10-28
https://detail.tmall.com/item.htm?id=560560153011&ns=1&abbucket=17,https://detail.tmall.com/item.htm?id=560560153011&ns=1&abbucket=17,WHISKY L Ardbeg阿贝雅柏雅伯10年单一麦芽威士忌苏格兰进口洋酒,WHISKY L！旗舰店,https://taishengyuanjl.tmall.com/,tm,0,472.00,,405.00,,,送天猫积分202,50,144,2020-10-28
https://item.taobao.com/item.htm?id=578344106738&ns=1&abbucket=17#detail,https://item.taobao.com/item.htm?id=578344106738&ns=1&abbucket=17#detail,阿贝10年威士忌单一麦芽乌干达/漩涡/奥之岬/Ardbeg雅柏ANOA独饮,独饮酒馆,https://shop177453268.taobao.com/,tb,0,419.00-714.00,,295.00-590.00,,,,12,73,2020-10-28
https://item.taobao.com/item.htm?id=572343011353&ns=1&abbucket=17#detail,https://item.taobao.com/item.htm?id=572343011353&ns=1&abbucket=17#detail,Ardbeg苏格兰进口阿贝雅柏阿德贝哥10年单一麦芽威士忌 包邮现货,以马内利酒业,https://shop108156093.taobao.com/,tb,0,286.50,,273.00,,,,186,1052,2020-10-28
